date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:10	35031/35031	---MCZ	200	added ('OK')	text/html	etag:%22dad820b527402495e16a87ce838d064d-ssl-df%22	https://aviola.netlify.app/index.html	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/index.html	(from )
15:37:11	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1583213465-ssl-df	https://aviola.netlify.app/robots.txt		(from )
15:37:12	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%224d60a6214f73963ef44078c5ee5271a1-ssl%22	https://aviola.netlify.app/img/core-img/favicon.ico	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/core-img/favicon.ico	(from https://aviola.netlify.app/index.html)
15:37:13	4205/4205	---MCZ	200	added ('OK')	text/css	etag:%22414637ae3f12c345a6c80d23a8b48db0-ssl-df%22	https://aviola.netlify.app/css/responsive.css	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/css/responsive.css	(from https://aviola.netlify.app/index.html)
15:37:13	113011/113011	---MCZ	200	added ('OK')	text/css	etag:%223698b3f3f4ac95aa2b4a4b3c0be27b12-ssl-df%22	https://aviola.netlify.app/css/style.css	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/css/style.css	(from https://aviola.netlify.app/index.html)
15:37:14	3906/3906	---M--	200	added ('OK')	image/png	etag:%2218aab499d7148420fb587107d6b61a98-ssl%22	https://aviola.netlify.app/img/core-img/logo.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/core-img/logo.png	(from https://aviola.netlify.app/index.html)
15:37:15	22006/22006	---MCZ	200	added ('OK')	text/html	etag:%229052f00fb37ca4186c2ddda150b7ae05-ssl-df%22	https://aviola.netlify.app/about-us.html	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/about-us.html	(from https://aviola.netlify.app/index.html)
15:37:16	20391/20391	---MCZ	200	added ('OK')	text/html	etag:%22c10a3bd0f285f1e6224af62ee4f0fdb5-ssl-df%22	https://aviola.netlify.app/services.html	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/services.html	(from https://aviola.netlify.app/index.html)
15:37:16	15913/15913	---MCZ	200	added ('OK')	text/html	etag:%2222e37ad48d9a068816248ceb2a8e60e1-ssl-df%22	https://aviola.netlify.app/faq.html	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/faq.html	(from https://aviola.netlify.app/index.html)
15:37:17	21162/21162	---MCZ	200	added ('OK')	text/html	etag:%220a966a22dbc922819b43d925276fcca2-ssl-df%22	https://aviola.netlify.app/pricing.html	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/pricing.html	(from https://aviola.netlify.app/index.html)
15:37:18	11883/11883	---MCZ	200	added ('OK')	text/html	etag:%22cae66778a1cd3fff76625f9215b53427-ssl-df%22	https://aviola.netlify.app/contact-us.html	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/contact-us.html	(from https://aviola.netlify.app/index.html)
15:37:18	2316/2316	---M--	200	added ('OK')	image/png	etag:%2220d2d8de227f9b8d3da0e5e0e3145740-ssl%22	https://aviola.netlify.app/img/partners/1.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/partners/1.png	(from https://aviola.netlify.app/index.html)
15:37:19	3800/3800	---M--	200	added ('OK')	image/png	etag:%22f21f36bde87d125396f7f040c68b8df8-ssl%22	https://aviola.netlify.app/img/partners/2.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/partners/2.png	(from https://aviola.netlify.app/index.html)
15:37:19	140422/140422	---M--	200	added ('OK')	image/png	etag:%22d7497f2954e222c04aad62ed02021da9-ssl%22	https://aviola.netlify.app/img/core-img/banner.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/core-img/banner.png	(from https://aviola.netlify.app/index.html)
15:37:19	3530/3530	---M--	200	added ('OK')	image/png	etag:%22b9f0990529378e91f802a7ea66bae40e-ssl%22	https://aviola.netlify.app/img/partners/3.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/partners/3.png	(from https://aviola.netlify.app/index.html)
15:37:20	3419/3419	---M--	200	added ('OK')	image/png	etag:%224fa344d944f0e444039250c6ec49a785-ssl%22	https://aviola.netlify.app/img/partners/4.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/partners/4.png	(from https://aviola.netlify.app/index.html)
15:37:20	3382/3382	---M--	200	added ('OK')	image/png	etag:%221f61954bae581888b783ef2ca5c45582-ssl%22	https://aviola.netlify.app/img/partners/5.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/partners/5.png	(from https://aviola.netlify.app/index.html)
15:37:20	3800/3800	---M--	200	added ('OK')	image/png	etag:%22f21f36bde87d125396f7f040c68b8df8-ssl%22	https://aviola.netlify.app/img/partners/6.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/partners/6.png	(from https://aviola.netlify.app/index.html)
15:37:21	1024/1024	---M--	200	added ('OK')	image/png	etag:%22c49a6c1936717147daad00f13fe0d021-ssl%22	https://aviola.netlify.app/img/icons/s1.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/icons/s1.png	(from https://aviola.netlify.app/index.html)
15:37:21	1384/1384	---M--	200	added ('OK')	image/png	etag:%22eab6ff02644a5509f7d7f64be3824845-ssl%22	https://aviola.netlify.app/img/icons/s2.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/icons/s2.png	(from https://aviola.netlify.app/index.html)
15:37:22	1087/1087	---M--	200	added ('OK')	image/png	etag:%22b03cae073a7d91be882a9ee816415877-ssl%22	https://aviola.netlify.app/img/icons/s3.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/icons/s3.png	(from https://aviola.netlify.app/index.html)
15:37:23	71748/71748	---M--	200	added ('OK')	image/png	etag:%2295ec15002f38a11d091163009399f9d3-ssl%22	https://aviola.netlify.app/img/core-img/about.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/core-img/about.png	(from https://aviola.netlify.app/index.html)
15:37:24	48362/48362	---M--	200	added ('OK')	image/png	etag:%22e99a321730269fab823c6dd2dcf049af-ssl%22	https://aviola.netlify.app/img/core-img/about1.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/core-img/about1.png	(from https://aviola.netlify.app/index.html)
15:37:24	78114/78114	---M--	200	added ('OK')	image/png	etag:%223e8c4bf052a37b98ce81d6754233d7ff-ssl%22	https://aviola.netlify.app/img/core-img/about2.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/core-img/about2.png	(from https://aviola.netlify.app/index.html)
15:37:25	155137/155137	---M--	200	added ('OK')	image/png	etag:%229b74ca7e8b3d0a02aec3fd233fb544bd-ssl%22	https://aviola.netlify.app/img/core-img/trial.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/core-img/trial.png	(from https://aviola.netlify.app/index.html)
15:37:25	76535/76535	---M--	200	added ('OK')	image/png	etag:%228a33e9b8bfc221ff01dfbe42af7ebc63-ssl%22	https://aviola.netlify.app/img/icons/h1.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/icons/h1.png	(from https://aviola.netlify.app/index.html)
15:37:26	83219/83219	---M--	200	added ('OK')	image/png	etag:%22485109940d33654fe4e572ec4d19b4a4-ssl%22	https://aviola.netlify.app/img/icons/h2.png	C:/My%20Web%20Sites/xyz3/aviola.netlify.app/img/icons/h2.png	(from https://aviola.netlify.app/index.html)
